구분,title,writer,publisher,year,journal,link,abstracts
62,논문 및 특허 데이터를 활용한 자연어 처리 기반 ICT 동향 분석 연구,"최은영,김예은,우창완,최예림",한국EA학회,2020,정보기술아키텍처연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=2e68650353ee3207e9810257f7042666&keyword=자연어 처리,"많은 기업들은 지속적으로 발전하는 정보통신기술(ICT)에 발맞추고자 이를 파악하는데 높은 관 심을 갖고 있다. 기존의 ICT 동향 분석에 관한 연구들은 비교적 적은 양의 데이터를 사용하거나 특정 종류의 데이터 혹은 특정 분야만을 중점적으로 분석하였다. 하지만, 정확한 기술 동향 파악을 위해서 는 한정된 분야가 아닌 전반적인 분야에 대한 분석이 필요하다. 따라서 본 논문에서는 전문가가 선정 한 주요 ICT 용어를 기반으로 논문 및 특허 데이터를 활용한 ICT 동향 분석 연구를 진행한다. 구체 적으로, ICT 용어가 포함된 문서의 빈도수, 이를 기반으로 한 단어의 위상, 그리고 단어 간 네트워크 분석을 수행한다. 2018년 및 2019년 발행 문서에 대해 각각 분석을 진행한 후, 결과를 비교하여 앞 으로의 ICT 동향을 제시한다. Companies are increasingly interested in the identification of the trends in information and communication technology (ICT) as ICTs are rapidly developing. Previous research on the analysis of ICT trends utilized relatively small sized data or focused only on a specific data or field. In order to identify ICT trends clearly, it is necessary to analyze data covering the overall fields. To this end, in this paper, trend analysis is conducted using manuscript and patent data based on the ICT related keywords selected by experts. In detail, keyword frequency analysis, positioning of keywords based on their frequencies, and keyword network analysis are performed. Documents published in 2018 and 2019 are analyzed separately and compared to identify the future technology trends."
63,자연어 처리 모델을 활용한 퍼징 시드 생성 기법,"김동영,전상훈,류민수,김휘강,Kim, DongYonug,Jeon, SangHoon,Ryu, MinSoo,Kim, Huy Kang",한국정보보호학회,2022,정보보호학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=8a22009f2c2cf9544884a65323211ff0&keyword=자연어 처리,"Fuzzing에서 seed corpus의 품질은 취약점을 보다 빠르게 찾기 위해서 중요한 요소 중 하나라고 할 수 있다. 이에 dynamic taint analysis와 symbolic execution 기법 등을 활용하여 효율적인 seed corpus를 생성하는 연구들이 진행되어왔으나, 높은 전문 지식이 요구되고, 낮은 coverage로 인해 광범위한 활용에 제약이 있었다. 이에 본 논문에서는 자연어 처리 모델인 Sequence-to-Sequence 모델을 기반으로 seed corpus를 생성하는 DDRFuzz 시스템을 제안한다. 본 논문에서 제안하는 시스템은 멀티미디어 파일을 입력값으로 하는 5개의 오픈소스 프로젝트를 대상으로 관련 연구들과 비교하여 효과를 검증하였다. 실험 결과, DDRFuzz가 coverage와 crash count 측면에서 가장 뛰어난 성능을 나타냄을 확인할 수 있었고, 또한 신규 취약점을 포함하여 총 3개의 취약점을 탐지하였다."
64,자연어 처리 AI 모델의 편향 원인과 해결책 : 문헌을 통한 탐색적 연구,"한민수,민진영",한국경영정보학회,2023,한국경영정보학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=17b0ea0687435ae46aae8a972f9116fb&keyword=자연어 처리,"최근 자연어 처리(NLP: Natural Language Processing) 인공지능(AI: Artificial Intelligence) 모델은 여러 분야에서 활용되며 크게 발전하고 있다. 그러나 모델이 특정 집단에 유리하게 설계되거나 학습된 모델에 인간의 선입견이 반영되는 등 다양한 원인으로 인해 편향 문제가 발생하고 있다. 이러한 편향은 AI 모델의 공정성과 신뢰성을 떨어뜨려 사회에 악영향을 미치고 AI 모델의 궁극적인 발전을 저해한다. 따라서, 본 연구는 NLP AI 모델의 편향 문제와 그것을 일으키는 다양한 원인 및 해결방법에 대해 선행 연구 분석을 통해 살펴보고, 원인과 해결 방법 간의 관계 구조를 정리한다. 향후 이 결과를 이용하여 데이터 및 모델 설계를 시뮬레이션하고 본 연구에서 제시한 편향 문제의 증상- 원인-해법 구조를 검증하려 한다. 나아가 이를 통해 편향 확인 및 해결을 위한 가이드라인을 제시한다."
65,자연어 처리 기반 멀티 소스 이벤트 로그의 보안 심각도 다중 클래스 분류,서양진,한국정보보호학회,2022,정보보호학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=946240fd0a7faf3547de9c1710b0298d&keyword=자연어 처리,"Log data has been used as a basis in understanding and deciding the main functions and state of information systems. It has also been used as an important input for the various applications in cybersecurity. It is an essential part to get necessary information from log data, to make a decision with the information, and to take a suitable countermeasure according to the information for protecting and operating systems in stability and reliability, but due to the explosive increase of various types and amounts of log, it is quite challenging to effectively and efficiently deal with the problem using existing tools. Therefore, this study has suggested a multiclass classification of the security severity level of multi-source event log using machine learning based on natural language processing. The experimental results with the training and test samples of 472,972 show that our approach has archived the accuracy of 99.59%. 로그 데이터는 정보 시스템의 주요 동작과 상태를 이해하고 판단하는 근거로 사용되어 왔으며, 여러 보안 분야 응용에서도 중요한 입력 데이터로 사용된다. 로그 데이터로부터 필요한 정보를 얻어 이를 근거로 의사 결정을 하고, 적절한 대응 방안을 취하는 것은 시스템을 보호하고 안정적으로 운영하는 데 있어 필수적인 요소이지만, 로그의 종류와 양이 폭발적으로 증가함에 따라 기존 도구들로는 효과적이고 효율적인 대응이 쉽지 않은 상황이다. 이에 본 연구에서는 자연어 처리 기반의 머신 러닝을 이용해 멀티 소스 이벤트 로그의 보안 심각도를 여러 단계로 분류하는 방법을 제안하였으며, 472,972건의 훈련 및 테스트 샘플을 이용하여 실험을 수행한 결과 99.59%의 정확도를 달성하였다."
66,감정인지강화를 위한 자연어 처리 기반 챗봇 서비스,"이수진(Sujin Lee),이한솔(Hansol Lee),문성운(Sungwoon Moon),김진우(Jin Woo Kim)",한국HCI학회,2020,한국HCI학회 학술대회,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=d4d05f921ff0007bb36097776a77e665&keyword=자연어 처리,이 논문은 밀레니얼 세대가 다양한 정신질환 진단률이 높아지는 것에 경각심을 느낀 후 정신질환과 감정표현불능증 사이의 유의한 관계를 바탕으로 감정표현불능증을 해소하기 위한 감정인지 강화를 유도하는 A.I. 기반 챗봇 서비스 사례를 소개하고 있다.
67,자연어 처리 기반 교수자의 온라인 글쓰기 피드백 양상 유형화 연구,이슬기,한국텍스트언어학회,2023,텍스트언어학,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5fbf479b1a0276077ecd42904f0c5d65&keyword=자연어 처리,"The purpose of this study is to categorize feedback provided by instructors according to the focus and mode, based on pattern recognition related to natural language processing. This study analyzed the feedback provided by 20 writing professors on 30 pieces of online writing each, adding up to a total of 600 pieces. The analysis was conducted using a combination of machine learning methods such as clustering from unsupervised learning and classification from supervised learning. As a result of clustering, focus was classified into four types: context, content, organization, and correctness. Mode was classified into three types: reflective statement and praise, correction and command, and advice and suggestion. The types of focus and mode were predicted by dividing the pieces by paragraph. Then, types and predicted values were applied to the neural network model to derive the types of instructor feedback through a deep learning method. Finally, this study identified the possibility of instructor feedback categorization by examining the examples of instructor feedback by type and discussing their differences."
68,자연어 처리 기반 『傷寒論』 辨病診斷體系 분류를 위한 기계학습 모델 선정,김영남,대한상한금궤의학회,2022,대한상한금궤의학회지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ba93bd4a6b90df88b36097776a77e665&keyword=자연어 처리,"Objective : The purpose of this study is to explore the most suitable machine learning model algorithm for Shanghanlun diagnostic system classification using natural language processing (NLP).
Methods : A total of 201 data items were collected from 『Shanghanlun』 and 『Clinical Shanghanlun』, ‘Taeyangbyeong-gyeolhyung’ and ‘Eumyangyeokchahunobokbyeong’ were excluded to prevent oversampling or undersampling. Data were pretreated using a twitter Korean tokenizer and trained by logistic regression, ridge regression, lasso regression, naive bayes classifier, decision tree, and random forest algorithms. The accuracy of the models were compared.
Results : As a result of machine learning, ridge regression and naive Bayes classifier showed an accuracy of 0.843, logistic regression and random forest showed an accuracy of 0.804, and decision tree showed an accuracy of 0.745, while lasso regression showed an accuracy of 0.608.
Conclusions : Ridge regression and naive Bayes classifier are suitable NLP machine learning models for the Shanghanlun diagnostic system classification."
69,자연어 처리(NLP)기반 텍스트마이닝을 활용한 소나무에 대한 국내외 연구동향(2001∼2020) 분석,"이진규,이창배",경상대학교 농업생명과학연구원,2022,농업생명과학연구,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=016a8cb56cc3d9b94884a65323211ff0&keyword=자연어 처리,"본 연구는 최근 20년간(2001~2020) 소나무에 관한 주요 연구 주제 및 연구영역 분석을 통한 향후 연구 방향성을 파악하고자 하였다. 이를 위해 Python.3.9.0과 Textom를 활용하여 RISS와 Web of Science의 소나무 관련 총 3866편의 논문 제목과 키워드 데이터를 수집하고 분석을 실시하였다. 분석 결과, 국가별 총 논문 수는 일본 383편(46.8%), 한국 363편(44.4%), 중국 78편(9.5%)순으로 소나무 자생국가를 중심으로 한 관련 연구들이 활발히 진행되었다. 단어 빈도 및 TF-IDF, N-gram, CONCOR 분석을 통해 국내와 국외에서 소나무 관련 주요 연구 주제는 소나무재 선충으로 나타났으며, 사회 및 경제적 환경, 관련 정책 등 차이에 의해 국내와는 달리 국외에서는 '균근' 관련 연구가 주요 연구 영역으로 도출되었다. 또한 소나무 관련 연구는 일부 인문 사회학적인 연구들이 진행되었지만 주로 생태적인 측면에 집중되어 있는 것으로 나타 났다. 이에 소나무의 인문·사회학적 가치를 고려할 때 향후 연구에서는 이와 관련 후속연구가 필요할 것으로 판단된다. The purpose of this study is to analyze domestic and foreign research trends and future direction of Pinus densiflora in recent 20 years using text mining. A total of 3866 academic papers related to Pinus densiflora were collected by the ‘RISS’ and‘WOS’ and the collected data is analyzed by Python 3.9.0 and UCINET. The findings of this study show that academic papers on the theme of Pinus densiflora with the ranking of Japan (383 papers, 46.8%), the Korea (363 papers, 44.4%), U.S. (78 papers, 9.5%) and so on. This result indicates that researches are the most vigorously conducted in pine tree native nations. From the results of TF, TF-IDF, N-gram and CONCOR analyses. The major research topic was pine wilt disease Bursaphelenchus xylophilus over the past 20 years. The studies related to‘mycorrhiza’were derived as major research subject in foreign than Korea. In addition, some humanities and social studies have been conducted on Pinus densiflora, but they are mainly focused on ecological aspects. Considering the humanistic and social value of Pinus densiflora, it need to expand research topics on humanities and social values."
70,자연어 처리 기법을 활용한 산업재해 위험요인 구조화,"강성식,장성록,이종빈,서용윤,Kang, Sungsik,Chang, Seong Rok,Lee, Jongbin,Suh, Yongyoon",한국안전학회,2021,한국안전학회지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=00825e0581de59d6b36097776a77e665&keyword=자연어 처리,"The narrative texts of industrial accident reports help to identify accident risk factors. They relate the accident triggers to the sequence of events and the outcomes of an accident. Particularly, a set of related keywords in the context of the narrative can represent how the accident proceeded. Previous studies on text analytics for structuring accident reports have been limited to extracting individual keywords without context. We proposed a context-based analysis using a Natural Language Processing (NLP) algorithm to remedy this shortcoming. This study aims to apply Word2Vec of the NLP algorithm to extract adjacent keywords, known as word embedding, conducted by the neural network algorithm based on supervised learning. During processing, Word2Vec is conducted by adjacent keywords in narrative texts as inputs to achieve its supervised learning; keyword weights emerge as the vectors representing the degree of neighboring among keywords. Similar keyword weights mean that the keywords are closely arranged within sentences in the narrative text. Consequently, a set of keywords that have similar weights presents similar accidents. We extracted ten accident processes containing related keywords and used them to understand the risk factors determining how an accident proceeds. This information helps identify how a checklist for an accident report should be structured."
71,연구개발정보 문헌 자동분류를 위한 자연어 처리 딥러닝 모델 개발: 기후기술 분류체계를 중심으로,"주경원,이관수,이성만,최안준,노건태,천지영",대한전자공학회,2022,전자공학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=fed6c6d1bb4ff85fc85d2949c297615a&keyword=자연어 처리,"신기후체제에 들어서며 전세계적으로 탄소중립을 선언하고 있으며 이를 위해 국가연구개발사업이 어떤 기후기술에 투자되고 있는지 관심이 고조되고 있다. 본 연구에서는 국가연구개발사업들의 문헌정보를 활용하여 45개의 기후기술 분류체계로 자동분류하는 딥러닝 모델을 개발하였다. NTIS에 등록되어 있는 2016∼2020년에 수행된 291,381건의 연구개발과제 중 2016∼2019년의 217,880건은 훈련 데이터셋으로, 2020년의 73,501건은 테스트 데이터셋으로 구분하여 실험하였다. 형태소 분석을 위해 kiwi와 Mecab을 사용하였으며 딥러닝 모델의 구조는 1D-CNN을 활용한 FC, EC 모델과 ELECTRA 사전학습 모델을 활용한 KoE 모델을 개발하였다. 각 클래스별 빈도의 편차가 큰 불균형데이터임을 고려하여 성능지표로 F1 스코어를 활용하였으며 각 개별모델과 앙상블 모델의 성능을 확인하였다. 개별모델에서는 키워드 빈도를 중심으로 학습하는 FC 모델이 0.824의 F1 스코어로 가장 우수했으며, 앙상블 모델에서는 개별모델 모두를 소프트 보팅(soft voting)한 Ens4 모델이 0.833의 F1 스코어로 가장 높은 성능을 나타냈다. 일반적인 말뭉치보다 전문적인 용어를 다수 포함하고 있는 대량의 기술문서 자동분류에서 본 모델을 사용한다면 기술전문가가 직접 라벨링하는 방법보다 보다 효율적인 프로세스를 갖출 수 있을 것이다."
72,"SNS대상의 지능형 자연어 수집, 처리 시스템 구현을 통한 한국형 감성사전 구축에 관한 연구",이종화,한국정보시스템학회,2020,情報시스템硏究,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=e20ad6d20ed10ac57f7a54760bb41745&keyword=자연어 처리,"Purpose: The research was studied the hierarchical Hangul emotion index by organizing all the emotions which SNS users are thinking. As a preliminary study by the researcher, the English-based Plutchick (1980)'s emotional standard was reinterpreted in Korean, and a hashtag with implicit meaning on SNS was studied. To build a multidimensional emotion dictionary and classify three-dimensional emotions, an emotion seed was selected for the composition of seven emotion sets, and an emotion word dictionary was constructed by collecting SNS hashtags derived from each emotion seed. We also want to explore the priority of each Hangul emotion index.
Design/methodology/approach: In the process of transforming the matrix through the vector process of words constituting the sentence, weights were extracted using TF-IDF (Term Frequency Inverse Document Frequency), and the dimension reduction technique of the matrix in the emotion set was NMF (Nonnegative Matrix Factorization) algorithm. The emotional dimension was solved by using the characteristic value of the emotional word. The cosine distance algorithm was used to measure the distance between vectors by measuring the similarity of emotion words in the emotion set.
Findings: Customer needs analysis is a force to read changes in emotions, and Korean emotion word research is the customer's needs. In addition, the ranking of the emotion words within the emotion set will be a special criterion for reading the depth of the emotion. The sentiment index study of this research believes that by providing companies with effective information for emotional marketing, new business opportunities will be expanded and valued. In addition, if the emotion dictionary is eventually connected to the emotional DNA of the product, it will be possible to define the “emotional DNA”, which is a set of emotions that the product should have."
73,자연어 및 시계열 데이터 처리를 지원하는 C++ 기반 오픈소스 딥러닝 프레임워크 WICWIU.v3,"오준석,이찬효,우옥균,김인중",한국정보과학회,2023,정보과학회논문지,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9a5aff0c8b8bc5304884a65323211ff0&keyword=자연어 처리,"WICWIU is the first open-source deep learning framework developed by Korean university. In this work, we developed WICWIU.v3 that includes features for natural language and time-series data processing. WICWIU was designed for C++ environment, and supports GPU-based parallel processing, and has excellent readability and extensibility, allowing users to easily add new features. In addition to WICWIU.v1 and v2 that focus on image processing models, such as convolutional neural networks (CNN) and general adversarial networks (GAN), WICWIU.v3 provides classes and functions for natural language and time-series data processing, such as recurrent neural networks (RNN), including LSTM (Long Short-Term Memory Networks) and GRU (Gated Recurrent Units), attention modules, and Transformers. We validated the newly added functions for natural language and time-series data by implementing a machine translator and a text generator with WICWIU.v3. WICWIU(위큐)는 국내 대학에서 최초로 공개한 오픈소스 딥러닝 프레임워크이다. 본 연구에서는 자연어 및 시계열 데이터 처리 기능들이 추가된 WICWIU.v3를 개발하였다. WICWIU는 C++ 환경을 위해 설계되었고, GPU 기반 병렬처리를 지원하며, 가독성과 확장성이 우수해 사용자가 직접 새로운 기능을 추가하기에 용이하다. CNN(Convolutional Neural Networks), GAN(Generative Adversarial Networks) 등 영상처리 모델에 중점을 둔 WICWIU.v1과 v2에 비해 WICWIU.v3에는 LSTM(Long Short-Term Memory Networks)과 GRU(Gated Recurrent Units)를 포함한 순환 신경망(RNN), 어텐션 모듈, 트랜스포머(Transformer) 등 자연어 및 시계열 데이터 처리를 위한 클래스와 함수들이 추가되었다. WICWIU.v3를 이용해 기계번역 및 텍스트 합성 모델을 구현함으로써 새로 추가된 자연어 및 시계열 처리 기능들이 정상적으로 동작함을 확인하였다."
74,검색엔진과 자연어 생성 모델을 결합한 문서 내 정보 처리 챗봇 서비스,"김명준(MyeongJun Kim),김명헌(MyungHun Kim),김태일(Taeil Kim),전현진(HyeonJin Jeon),황유민(YuMin Hwang),유철중(CheolJung Yoo)",한국정보기술학회,2023,Proceedings of KIIT Conference,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=1bf6c890ed74e8e847de9c1710b0298d&keyword=자연어 처리,"현재 개인 및 조직은 저장하는 문서들이 많아질수록 관리 및 정보 추출에 어려움을 겪고 있고, 출시된 언어생성모델들은 사용자가 관리하는 문서들의 내용을 반영한 질의능력이 떨어진다. 이를 해결하기 위해 언어생성모델과 검색엔진을 결합하여 개인과 조직의 정보를 기반으로 사용자가 원하는 정보를 반환할 수 있는 서비스를 제공할 필요가 있다. 또한, 이런 해결 방안을 적용하면 문서 요약과 번역 등 부수적인 효과도 기대할 수 있다. 본 논문에서는 언어생성모델 중 GPT-3.5와 검색엔진 중 하나인 Elastic Search를 이용하여 웹 애플리케이션을 제작하였다. Currently, as more documents are stored, individuals and organizations are having difficulty in managing and extracting information, and the released language generation models have less ability to query the contents of documents managed by users. To solve this problem, it is necessary to provide a service that combines language generation models and search engines to return information that users want based on individual and organizational information. In addition, if these solutions are applied, additional effects such as document summary and translation can be expected. In this paper, a web application was created using GPT-3.5 among language generation models and Elastic Search, one of the search engines."
75,불균형 데이터 처리를 통한 소프트웨어 요구사항 분류 모델의 성능 개선에 관한 연구,"최종우,이영준,임채균,최호진,Jong-Woo Choi,Young-Jun Lee,Chae-Gyun Lim,Ho-Jin Choi",한국정보처리학회,2023,정보처리학회논문지. 소프트웨어 및 데이터 공학,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9404243beae0813eb7998d826d417196&keyword=자연어 처리,"자연어로 작성되는 소프트웨어 요구사항은 이해관계자가 바라보는 관점에 따라 의미가 달라질 수 있다. 품질 속성 기반으로 아키텍처 설계시에 품질 속성별로 적합한 설계 전술(Tactic)을 선택해야 효율적인 설계가 가능해 품질 속성 요구사항의 정확한 분류가 필요하다. 이에 따라 고비용 작업인 요구사항 분류에 관한 자연어처리 모델이 많이 연구되고 있지만, 품질 속성 데이터셋(dataset)의 불균형을 처리해 분류 성능을 개선하는 주제는 많이 다루고 있지 않다. 본 연구에서는 먼저 실험을 통해 분류 모델이 한국어 요구사항 데이터셋을 자동으로 분류할 수 있음을 보인다. 이 결과를 바탕으로 EDA(Easy Data Augmentation) 기법을 통한 데이터 증강과 언더샘플링(undersampling) 전략으로 품질 속성 데이터셋의 불균형을 개선할 수 있음을 설명하고 요구사항의 카테고리 분류에 효과가 있음을 보인다. 실험 결과 F1 점수(F1-Score) 기준으로 최대 5.24%p 향상되어 불균형 데이터 처리 기법이 분류 모델의 한국어 요구사항 분류에 도움이 됨을 확인할 수 있다. 또한, EDA의 세부 실험을 통해 분류 성능 개선에 도움이 되는 데이터 증강 연산에 관해 설명한다. Software requirements written in natural language may have different meanings from the stakeholders' viewpoint. When designing an architecture based on quality attributes, it is necessary to accurately classify quality attribute requirements because the efficient design is possible only when appropriate architectural tactics for each quality attribute are selected. As a result, although many natural language processing models have been studied for the classification of requirements, which is a high-cost task, few topics improve classification performance with the imbalanced quality attribute datasets. In this study, we first show that the classification model can automatically classify the Korean requirement dataset through experiments. Based on these results, we explain that data augmentation through EDA(Easy Data Augmentation) techniques and undersampling strategies can improve the imbalance of quality attribute datasets, and show that they are effective in classifying requirements. The results improved by 5.24%p on F1-score, indicating that handling imbalanced data helps classify Korean requirements of classification models. Furthermore, detailed experiments of EDA illustrate operations that help improve classification performance."
76,텍스트 요약을 위한 스파크 기반 대용량 데이터 전처리,"지동준 ( Dong-jun Ji ),전희국 ( Hee-gook Jun ),임동혁 ( Dong-hyuk Im )",한국정보처리학회,2022,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=a525d3671063ac2eb36097776a77e665&keyword=자연어 처리,"텍스트 요약(Text Summarization)은 자연어 처리(NLP) 분야의 주요 작업 중 하나이다. 높은 정확성을 보이는 문서 요약 딥 러닝 모델을 만들기 위해서 대용량 학습 데이터가 필요한데, 대용량 데이터 전처리 과정에서 처리 시간, 메모리 관리 등과 같은 문제가 발생한다. 본 논문에서는 대규모 병렬처리 플랫폼 Apache Spark 를 사용해 추상 요약 딥 러닝 모델의 데이터 전처리 과정을 개선하는 방법을 제안한다. 실험 결과 제안한 방법이 기존 방법보다 데이터 전처리 시간이 개선된 결과를 보이고 있다."
77,온라인 커뮤니티에서 사용되는 댓글의 형태를 고려한 악플 탐지를 위한 전처리 기법,"김해수 ( Kim Hae Soo ),김미희 ( Kim Mi Hui )",한국정보처리학회,2023,정보처리학회논문지. 컴퓨터 및 통신시스템,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=7c2af658e8ad56967f7a54760bb41745&keyword=자연어 처리,"인터넷이 보급되면서 사람들 간의 소통을 위한 커뮤니티가 활성화됨과 함께 익명 커뮤니티가 나타났고 익명성을 이용한 공격적인 게시글, 댓글을 남기는 등 타인에게 피해를 주는 행위를 하는 이용자가 많아지고 있다. 과거에는 관리자가 직접 글과 댓글을 확인하며 삭제 및 차단했지만, 커뮤니티 이용자가 늘어나면서 관리자가 계속 감시할 수 없는 수준에 이르렀다. 초기에는 특정 단어가 포함되면 해당 글을 게시하거나 댓글을 달 수 없는 형태로 악의적인 글이 게시되는 것을 막는 단어 필터링 기법을 사용하였으나 유사한 단어를 사용하는 등 우회하는 형식으로 필터링을 피해 갔다. 이를 해결하는 방법으로 딥러닝을 이용하여 실시간으로 이용자들이 게시하는 글들을 감시하였으나 최근 커뮤니티에서는 해당 커뮤니티에서만 이해할 수 있는 단어를 사용하거나 일반적인 한글이 아닌 인간의 시야에서만 이해할 수 있는 문자를 사용하고 있다. 이들이 사용하는 문자의 종류나 형태가 다양하여 인공지능 모델에 모든 것을 학습시키기에 어려움이 있다. 이에 본 논문에서는 한글의 자음과 모음 띄어쓰기 이미지를 학습시킨 CNN 모델을 이용해서 문장의 각 문자를 이미지화해 인간의 시야에서만 이해할 수 있는 문자를 모델이 예측한 문자로 변환하는 전처리 기법을 제안한다. 실험 결과, 제안한 전처리 기법을 통해 LSTM, BiLSTM, CNN-BiLSTM 모델에서의 성능이 각각 3.2%, 3.3%, 4.88% 증가함을 확인했다. With the spread of the Internet, anonymous communities emerged along with the activation of communities for communication between people, and many users are doing harm to others, such as posting aggressive posts and leaving comments using anonymity. In the past, administrators directly checked posts and comments, then deleted and blocked them, but as the number of community users increased, they reached a level that managers could not continue to monitor. Initially, word filtering techniques were used to prevent malicious writing from being posted in a form that could not post or comment if a specific word was included, but they avoided filtering in a bypassed form, such as using similar words. As a way to solve this problem, deep learning was used to monitor posts posted by users in real-time, but recently, the community uses words that can only be understood by the community or from a human perspective, not from a general Korean word. There are various types and forms of characters, making it difficult to learn everything in the artificial intelligence model. Therefore, in this paper, we proposes a preprocessing technique in which each character of a sentence is imaged using a CNN model that learns the consonants, vowel and spacing images of Korean word and converts characters that can only be understood from a human perspective into characters predicted by the CNN model. As a result of the experiment, it was confirmed that the performance of the LSTM, BiLSTM and CNN-BiLSTM models increased by 3.2%, 3.3%, and 4.88%, respectively, through the proposed preprocessing technique."
78,자연어의 논리식으로의 변환을 이용한 고급검색 및 이를 활용한 히스토리 검색,"이대홍,유한석,박상원",한국정보처리학회,2020,정보처리학회논문지. 소프트웨어 및 데이터 공학,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=ca70f4f8c1e49e0dc85d2949c297615a&keyword=자연어 처리,"Nowadays there are over 1.6 billion web pages and it is hard to get necessary results that user wants. Most search engines allow you to search with logical form to get accurate results. However, normal users are not familiar to search information as logical form. Therefore, they search in natural language rather than in complicated logical form. In this paper there are some suggestions to improve quality of searching results, converting natural language input by the user into logical form which can able to use advanced search engine. Users tend to make short searches due to the ‘Simplicity’ which is one of the features of the search form. Therefore we suggest history retrieval method; advanced version of previous suggestion to provide convenience to the normal users. We had improvement on accuracy of the search results converting natural languages to logical form and also can contain every keyword without missing any keywords using searching methods on this paper. It is expected that these search methods will contribute to the development of search engines. 현재 웹에서 존재하는 웹페이지는 16억개 이상이며 이중에서 원하는 검색결과를 얻기란 쉽지 않은 일이다. 대부분의 검색엔진에서는 정밀한 검색결과를 제공하기 위하여 논리식의 형태로 검색할 수 있게 하고 있다. 하지만 일반적인 경우 사람들은 원하는 정보를 논리식 형태로 검색하는데 익숙하지 않다. 때문에 복잡한 논리식 형태로 검색하기 보다는 자연어로 검색한다. 따라서 본 논문에서는 사용자가 입력하는 자연어 질의를 검색엔진의 고급검색을 사용할 수 있는 논리식으로 변환하여 검색결과의 품질을 향상시켜주는 검색방법을 제안한다. 또한 사용자들은 검색형태의 특징 중 하나인 단순성에 의해 길게 검색하기 보다는 여러 번의 짧은 검색을 이용하는 경우가 훨씬 많다. 이에 따라 사용자들에게 편리성을 제공하기 위하여 앞에서 제안한 검색방법을 활용한 히스토리 검색방법을 제안한다. 본 논문의 검색방법들을 사용한 결과 자연어 상태의 검색결과보다 논리식으로 변환한 검색결과의 정확도가 개선되었고 누락되는 키워드 없이 사용자가 검색하고자하는 모든 키워드를 반영할 수 있다. 이러한 검색방법이 검색엔진의 발전에 기여할 것으로 기대한다."
79,청각 장애인을 위한 수어 영상-자연어 번역 서비스 및 모바일 어플리케이션 구현,"조수민 ( Su-min Cho ),조성연 ( Seong-yeon Cho ),신소연 ( So-yeon Shin ),이지항 ( Jee Hang Lee )",한국정보처리학회,2021,한국정보처리학회 학술대회논문집,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9e20d3a838e72d83d18150b21a227875&keyword=자연어 처리,"Covid-19 로 인한 마스크 착용이 청각장애인들의 소통을 더 어렵게 하는 바, 제 3 자의 도움 없이 쌍방향 소통을 가능하게 하는 서비스의 필요성이 커지고 있다. 이에 본 논문은 소통의 어려움을 겪는 청각장애인과 비청각장애인을 위한 쌍방향 소통 서비스에 대한 연구와 개발 과정, 기대 효과를 담는다. 서비스는 GRU-CNN 하이브리드 아키텍처를 사용하여 데이터셋을 영상 공간 정보와 시간 정보를 포함한 프레임으로 분할하는 영상 분류 기법과 같은 딥 러닝 알고리즘을 통해 수어 영상을 분류한다. 해당 연구는 “눈속말” 모바일 어플리케이션으로 제작 중이며 음성을 인식하여 수어영상과 텍스트로 번역결과를 제공하는 청각장애인 버전과 카메라를 통해 들어온 수어 영상을 텍스트로 변환하여 음성과 함께 제공하는 비청각장애인 버전 두 가지로 나누어 구현한다. 청각장애인과 비장애인의 쌍방향 소통을 위한 서비스는 청각장애인이 사회로 나아가기 위한 가장 기본적인 관문으로서의 역할을 할 것이며 사회 참여를 돕고 소통이라는 장벽을 넘어서는 발돋움이 될 것이라 예측된다."
